No,入札方式,工種（業種）,資格点数,予定価格（税抜）,工事概要（業務概要）,発注機関,工事場所,指名業者・応札業者
860,受注希望,とび・土工・コンクリート工事,775.0,24960000,ガードパイプ設置工,飯田建設事務所,工区,（有）新井工務店、クラウニング（株）、（株）カリス、木下工業（株）、（株）尾畑組、高本建設（株）、道栄建設（株）、（株）トライネット、南信土木建築（有）、（株）吉野組、宮下建設（有）、（株）清信建設興業、宮嘉建設（有）、（有）今村工務所、大平建設（株）、阿智工務店（株）、（株）シノダ、（株）下平組、南部建設（有）、（有）竹村工務所、（有）ヒラサワ
861,受注希望,土木一式工事,1006.0,8210000,渓間工 流路工,南信州地域振興局,飯田市,（株）近藤工務店、三建建設（有）
862,受注希望,土木一式工事,759.0,71030000,護岸工ブロック張工 護岸工根継工 護岸工ブロック積工 根継工 仮設工,飯田建設事務所,下伊那郡喬木村,クラウニング（株）、道栄建設（株）
863,受注希望,塗装工事,,6060000,,飯田建設事務所,工区,信越測機（有）、（有）ヒラサワ、（株）板倉、山本産業（株）、矢木コーポレーション（株）、黒河内建設（株）、（株）長野標識
864,受注希望,とび・土工・コンクリート工事,,4310000,谷止工排土工,南信州地域振興局,飯田市,共歩（株）
865,受注希望,塗装工事,775.0,19950000,区画線工 薄層カラー舗装工,飯田建設事務所,工区,黒河内建設（株）、矢木コーポレーション（株）、サンテック（株）、信越測機（株）、（株）石原工務店、山本産業（株）、（有）ヒラサワ、中信測機（株）
866,受注希望,塗装工事,775.0,16070000,区画線工 薄層カラー舗装工 水性カラー舗装工,飯田建設事務所,工区,矢木コーポレーション（株）、中信測機（株）、黒河内建設（株）、（有）ヒラサワ、信越測機（株）、（株）石原工務店、山本産業（株）、サンテック（株）
867,受注希望,塗装工事,775.0,22850000,区画線工 薄層カラー舗装工 水性カラー舗装工,飯田建設事務所,工区,黒河内建設（株）、矢木コーポレーション（株）、山本産業（株）、中信測機（株）、信越測機（株）、（有）ヒラサワ、サンテック（株）、（株）石原工務店
868,受注希望,土木一式工事,759.0,48980000,山腹工,南信州地域振興局,天龍村,（有）上野建設、（有）福士組
869,総合評価,土木一式工事,1007.0,375750000,橋梁下部工 深礎杭工,飯田建設事務所,下伊那郡天龍村,吉川建設（株）、北沢建設（株）、神稲建設（株）、（株）トライネット、木下建設（株）
870,受注希望,土木一式工事,675.0,非公開,,南信州地域振興局,飯田市,
871,受注希望,土木一式工事,759.0,43830000,道路築造工 舗装工 かご枠工,飯田建設事務所,下伊那郡阿南町,（株）パテック、（有）新野工務店、（有）畑中工務所、（株）カリス、神稲建設（株）、（有）福士組、三建建設（有）、太田土建（有）、金本建設（株）、古田工業（株）、宮嘉建設（有）、道栄建設（株）、（株）サンテクト、阿智工務店（株）、（株）片桐工務所、小木曽建設（株）、（有）新井工務店
872,受注希望,土木一式工事,1006.0,10260000,法面工 コンクリートブロック積工 舗装工 ガードレール工,飯田建設事務所,下伊那郡天龍村,（有）イチバ土木、宮嘉建設（有）、共歩（株）、宮下建設（有）、阿智工務店（株）、（有）福士組、（株）矢島、道栄建設（株）、（株）イケガミ、（有）今村工務所、三建建設（有）、南部建設（有）、太田土建（有）、（有）竹村工務所、（有）カスミ
873,受注希望,舗装工事,850.0,5170000,舗装撤去工 仮舗装工,飯田建設事務所,飯田市,小木曽建設（株）、（株）トライネット
874,受注希望,土木一式工事,759.0,45090000,道路築造工 舗装工 大型ブロック積工 落石防止網工,飯田建設事務所,下伊那郡阿南町,神稲建設（株）、太田土建（有）、（株）パテック、（株）片桐工務所、阿智工務店（株）、（有）新野工務店、（株）カリス、宮嘉建設（有）、道栄建設（株）、小木曽建設（株）、藤井興業（株）、（有）福士組、金本建設（株）、三建建設（有）、（有）畑中工務所、（株）サンテクト
875,受注希望,とび・土工・コンクリート工事,775.0,44460000,法面対策工 繊維補強モルタル吹付工,飯田建設事務所,下伊那郡阿智村,宮嘉建設（有）、阿智工務店（株）、（株）片桐工務所、北沢建設（株）、藤井興業（株）、（株）トライネット、古田工業（株）、宮下建設（有）、（有）新野工務店、細澤建設（株）、（株）三六組、高本建設（株）、太田土建（有）、南信土木建築（有）、（有）宮澤組、（株）シノダ、（株）清信建設興業、（有）畑中工務所、木下工業（株）、（有）今村工務所、伊賀良建設（株）、（有）竹村工務所、金本建設（株）、南部建設（有）、（株）カリス
876,受注希望,とび・土工・コンクリート工事,775.0,26850000,落石対策工 重力式擁壁工 落石防護柵工,飯田建設事務所,下伊那郡阿智村,（有）新井工務店、（株）パテック、細澤建設（株）、クラウニング（株）、南信土木建築（有）、阿智工務店（株）、宮嘉建設（有）、（株）カリス、（有）今村工務所、（株）片桐工務所、金本建設（株）、（有）畑中工務所、太田土建（有）、（有）竹村工務所、（株）清信建設興業
877,受注希望,とび・土工・コンクリート工事,775.0,14190000,法面対策工 モルタル吹付工 ポケット式ロックネット工,飯田建設事務所,下伊那郡阿智村から阿南町,（有）福士組、（株）トライネット、阿智工務店（株）、金本建設（株）、南部建設（有）、（有）畑中工務所、宮嘉建設（有）、（有）新野工務店、（株）清信建設興業、南信土木建築（有）
878,受注希望,電気工事,819.0,29720000,キュービクル改修工,飯田建設事務所,飯田市,東陽興業（株）、土屋電気工事（株）
879,総合評価,とび・土工・コンクリート工事,872.0,63220000,山腹工,南信州地域振興局,阿智村,金本建設（株）、（株）パテック、（株）三六組、（有）畑中工務所、南信土木建築（有）、北沢建設（株）、小池建設（株）、（株）清信建設興業、（株）シノダ、伊賀良建設（株）
880,受注希望,森林整備,540.0,1150000,,南信州地域振興局,阿智村,杣人、飯伊森林組合、エレファントチーム
881,受注希望,土木一式工事,675.0,16240000,護岸工,飯田建設事務所,下伊那郡松川町,伊那建設（有）、（株）エヌグルーヴ、（株）創力、（有）今村工務所、（有）神和創建
882,受注希望,土木一式工事,759.0,61790000,道路築造工 舗装工 落石防護柵工,飯田建設事務所,下伊那郡阿南町,阿智工務店（株）、（株）片桐工務所、古田工業（株）、藤井興業（株）、小木曽建設（株）、（有）新野工務店、（有）畑中工務所、（有）竹村工務所、（株）カリス、（株）サンテクト、（有）福士組、金本建設（株）、（株）パテック、神稲建設（株）
883,総合評価,土木一式工事,759.0,55430000,道路工 下層路盤工 表層工 側溝工 擁壁工,南信州地域振興局,下伊那郡豊丘村,伊賀良建設（株）、神稲建設（株）、（株）下平組、三建建設（有）、（株）尾畑組、（有）畑中工務所、小木曽建設（株）、（有）宮澤組
884,受注希望,とび・土工・コンクリート工事,775.0,10650000,法面対策工工 落石防止網工,飯田建設事務所,飯田市,中川建設（有）、（有）今村工務所、（株）シノダ、（有）畑中工務所、細澤建設（株）、宮嘉建設（有）、（株）トライネット、阿智工務店（株）、伊賀良建設（株）、（有）福士組、金本建設（株）、山崎建設（株）、南部建設（有）、（株）清信建設興業、太田土建（有）、（有）竹村工務所
885,総合評価,電気通信工事,819.0,99100000,トンネル防災設備工,飯田建設事務所,下伊那郡天龍村,矢木コーポレーション（株）、丸登電業（株）
886,総合評価,電気通信工事,820.0,90050000,トンネル防災設備工,飯田建設事務所,下伊那郡下條村,東陽興業（株）
887,総合評価,土木一式工事,1007.0,128340000,道路築造工 大型ブロック積工 ブロック積工,飯田建設事務所,飯田市,高本建設（株）、金本建設（株）、藤井興業（株）、（株）トライネット、長豊建設（株）、（株）三六組、（株）カリス、北沢建設（株）、（株）尾畑組、木下建設（株）、神稲建設（株）、大協建設（株）、小池建設（株）、吉川建設（株）
888,総合評価,土木一式工事,1007.0,143630000,道路築造工 大型ブロック積工 ブロック積工,飯田建設事務所,飯田市,高本建設（株）、金本建設（株）、藤井興業（株）、（株）尾畑組、（株）トライネット、長豊建設（株）、（株）三六組、（株）カリス、北沢建設（株）、神稲建設（株）、木下建設（株）、小池建設（株）、大協建設（株）、吉川建設（株）
889,受注希望,とび・土工・コンクリート工事,775.0,20460000,山腹工,南信州地域振興局,阿南町,（株）トライネット、阿智工務店（株）、伊賀良建設（株）、南部建設（有）、宮嘉建設（有）、（有）竹村工務所、道栄建設（株）、（有）今村工務所、（有）福士組、金本建設（株）、（有）新井工務店、（株）清信建設興業、（有）畑中工務所、細澤建設（株）、木下工業（株）
890,受注希望,土木一式工事,675.0,23310000,谷止工,南信州地域振興局,飯田市,（株）カリス、（株）エヌグルーヴ、（株）ウチヤマ、（有）竹村工務所、（有）今村工務所、木下工業（株）、（有）畑中工務所、道栄建設（株）、細澤建設（株）、太田土建（有）、共歩（株）、（株）創力、（有）福士組、宮嘉建設（有）、三建建設（有）、（有）新井工務店
891,受注希望,土木一式工事,675.0,14150000,水路工,飯田建設事務所,阿南町,（有）福士組
892,受注希望,建築一式工事,751.0,36990000,弓道場トイレ改修工 弓道場照明設備改修工,飯田建設事務所,飯田市,伊賀良建設（株）、（株）倉田工務店
893,受注希望,土木一式工事,842.0,73830000,河川災害復旧工 帯工 根固めブロック工 交付金工 護岸工,飯田建設事務所,下伊那郡松川町,シブキヤ建設（株）、クラウニング（株）、道栄建設（株）
894,受注希望,土木一式工事,841.0,非公開,山腹工,南信州地域振興局,天龍村,
895,受注希望,土木一式工事,842.0,非公開,護岸工,飯田建設事務所,下伊那郡豊丘村,
896,受注希望,土木一式工事,759.0,非公開,谷止工,南信州地域振興局,下條村,
897,一般競争,電気通信工事,819.0,30670000,カメラ設置工,飯田建設事務所,下伊那郡大鹿村,富士コムテック（株）、丸登電業（株）、協栄電気興業（株）、矢木コーポレーション（株）
898,受注希望,土木一式工事,759.0,54680000,道路拡幅工 型擁壁工,飯田建設事務所,下伊那郡喬木村,高本建設（株）、藤井興業（株）、（株）ウチヤマ、三建建設（有）、（有）畑中工務所、道栄建設（株）、小木曽建設（株）、（有）今村工務所、大平建設（株）、（有）宮澤組、金本建設（株）、細澤建設（株）、（有）竹村工務所、木下工業（株）、（株）尾畑組、中川建設（有）、野島建設（株）、クラウニング（株）
899,受注希望,土木一式工事,675.0,25450000,,南信州地域振興局,飯田市,共歩（株）、（有）北原土木
900,総合評価,舗装工事,850.0,14590000,舗装工 置換層工 表層工,南信州地域振興局,下伊那郡阿智村,南信土木建築（有）
901,受注希望,森林整備,,1530000,,南信州地域振興局,飯田市,エレファントチーム、飯伊森林組合
902,受注希望,土木一式工事,759.0,38770000,,南信州地域振興局,喬木村,三建建設（有）、（株）トライネット、山崎建設（株）、木下工業（株）
903,総合評価,土木一式工事,1007.0,118020000,橋梁下部工 基礎工 プレキャストボックスカルバート工,飯田建設事務所,飯田市,金本建設（株）、木下建設（株）、吉川建設（株）、神稲建設（株）、北沢建設（株）、長豊建設（株）、（株）トライネット
904,受注希望,土木一式工事,1006.0,8180000,護岸工,飯田建設事務所,飯田市,道栄建設（株）、（株）ウチヤマ、宮嘉建設（有）、細澤建設（株）、（株）エヌグルーヴ、（有）今村工務所
905,受注希望,土木一式工事,759.0,59390000,谷止工,南信州地域振興局,阿智村,（株）パテック、細澤建設（株）、（株）ウチヤマ
906,受注希望,土木一式工事,759.0,32580000,護岸工 小口止工 雑工,飯田建設事務所,下伊那郡松川町,シブキヤ建設（株）、細澤建設（株）、（株）尾畑組、伊賀良建設（株）、（株）ウチヤマ
907,受注希望,土木一式工事,841.0,1200000,砂利路盤工,南信州地域振興局,飯田市,（有）カスミ
908,受注希望,土木一式工事,841.0,7230000,山腹工 土留工 水路工 丸太筋工 伏工,南信州地域振興局,喬木村,（有）吉川建設工業、（有）カスミ
909,受注希望,土木一式工事,759.0,29840000,谷止工,南信州地域振興局,下條村,（株）パテック、（有）新井工務店、細澤建設（株）
910,受注希望,土木一式工事,675.0,14260000,根固工 根固めブロック工,飯田建設事務所,下伊那郡阿智村,（株）トライネット、共歩（株）、（株）イケガミ、阿智工務店（株）、伊賀良建設（株）、木下工業（株）、道栄建設（株）、南信土木建築（有）、宮嘉建設（有）、（有）イチバ土木、（株）エヌグルーヴ、（有）神和創建、（有）コスモ建設
911,受注希望,とび・土工・コンクリート工事,872.0,非公開,法面対策工 グラウンドアンカー工 集排水ボーリング工,飯田建設事務所,下伊那郡阿南町,
912,受注希望,土木一式工事,,1100000,山腹工,南信州地域振興局,天龍村,（有）福士組
913,受注希望,とび・土工・コンクリート工事,,非公開,山腹工 集水ボーリング工,南信州地域振興局,大鹿村,
914,受注希望,土木一式工事,841.0,4230000,砂利路盤工 暗渠工,南信州地域振興局,飯田市,（有）カスミ
915,総合評価,土木一式工事,1007.0,319490000,橋梁下部工 深礎杭工 道路築造工,飯田建設事務所,下伊那郡天龍村,金本建設（株）、（株）トライネット、神稲建設（株）、木下建設（株）、吉川建設（株）、北沢建設（株）、長豊建設（株）、（株）三六組
916,総合評価,土木一式工事,1007.0,229810000,橋梁下部工 橋脚工 護床工 仮締切工,飯田建設事務所,下伊那郡豊丘村,北沢建設（株）、木下建設（株）、吉川建設（株）、神稲建設（株）、長豊建設（株）、（株）三六組
917,受注希望,土木一式工事,675.0,23520000,水路工 暗渠排水工,南信州地域振興局,下伊那郡阿智村,（株）エヌグルーヴ
918,受注希望,舗装工事,,4330000,舗装修繕工 オーバーレイ工,飯田建設事務所,下伊那郡松川町,（株）トライネット、小木曽建設（株）、（株）ウチヤマ、木下建設（株）、高本建設（株）
919,受注希望,土木一式工事,842.0,105860000,護岸工,飯田建設事務所,下伊那郡豊丘村,（株）ウチヤマ、シブキヤ建設（株）
920,受注希望,森林整備,,2090000,,南信州地域振興局,売木村,飯伊森林組合、エレファントチーム
921,総合評価,舗装工事,970.0,36260000,舗装修繕工 区画線工,飯田建設事務所,飯田市,小池建設（株）、小木曽建設（株）、神稲建設（株）、藤井興業（株）
922,受注希望,とび・土工・コンクリート工事,,4520000,山腹工,南信州地域振興局,大鹿村,（株）清信建設興業、大協建設（株）
923,受注希望,土木一式工事,675.0,22290000,舗装工 置換層工 表層工 側溝工,南信州地域振興局,下伊那郡阿智村,神稲建設（株）、伊賀良建設（株）、（株）トライネット、（有）畑中工務所、藤井興業（株）、南信土木建築（有）、太田土建（有）、（株）エヌグルーヴ、南部建設（有）、細澤建設（株）、木下工業（株）、道栄建設（株）、宮嘉建設（有）、（有）今村工務所、（有）新井工務店、（有）コスモ建設
924,総合評価,土木一式工事,1007.0,247460000,橋梁下部工 深礎杭工 道路築造工,飯田建設事務所,下伊那郡天龍村,吉川建設（株）、長豊建設（株）、木下建設（株）、北沢建設（株）、（株）三六組、神稲建設（株）、池端工業（株）、金本建設（株）
925,受注希望,森林整備,540.0,4000000,伐木筋工,南信州地域振興局,阿南町,（有）北原土木、エレファントチーム
926,総合評価,とび・土工・コンクリート工事,872.0,204440000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,古田工業（株）、金本建設（株）、吉川建設（株）、神稲建設（株）、（株）三六組、長豊建設（株）、木下建設（株）、北沢建設（株）、（株）トライネット、小池建設（株）、信和建設（株）、（株）下平組
927,総合評価,とび・土工・コンクリート工事,872.0,171540000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,古田工業（株）、金本建設（株）、（株）トライネット、神稲建設（株）、長豊建設（株）、（株）三六組、吉川建設（株）、北沢建設（株）、木下建設（株）、（株）下平組、小池建設（株）、信和建設（株）
928,総合評価,とび・土工・コンクリート工事,872.0,51610000,貯水池内掘削工 運搬工,飯田建設事務所,下伊那郡松川町,長豊建設（株）、金本建設（株）、（株）トライネット、信和建設（株）
929,総合評価,とび・土工・コンクリート工事,872.0,53290000,貯水池内掘削工 運搬工,飯田建設事務所,飯田市,金本建設（株）、（株）トライネット、長豊建設（株）、（株）三六組、（株）下平組、信和建設（株）、木下建設（株）、神稲建設（株）、北沢建設（株）、吉川建設（株）
930,総合評価,土木一式工事,675.0,16090000,ブロック張補修工,飯田建設事務所,飯田市,細澤建設（株）、山崎建設（株）、池端工業（株）、（株）南建設、（株）近藤工務店、（有）上野建設
931,受注希望,塗装工事,,5390000,区画線設置工,飯田建設事務所,工区,（有）ヒラサワ、矢木コーポレーション（株）、長野機材（株）、黒河内建設（株）、山本産業（株）、（株）板倉
932,受注希望,管工事,,2760000,雨水貯留タンク設置工,飯田建設事務所,飯田,ダイワ設備（株）、（株）東設、二吉建設（株）
933,受注希望,土木一式工事,675.0,24730000,谷止工,南信州地域振興局,高森町,細澤建設（株）、（株）ウチヤマ、（株）尾畑組
934,受注希望,土木一式工事,675.0,24570000,渓間工,南信州地域振興局,飯田市,（株）ウチヤマ、伊賀良建設（株）、（有）畑中工務所、細澤建設（株）、木下工業（株）、宮嘉建設（有）、（有）今村工務所、（有）新井工務店
935,受注希望,土木一式工事,675.0,20740000,谷止工,南信州地域振興局,阿智村,共歩（株）、宮嘉建設（有）、（株）ウチヤマ、細澤建設（株）
936,受注希望,土木一式工事,841.0,非公開,山腹工,南信州地域振興局,大鹿村,
937,総合評価,とび・土工・コンクリート工事,775.0,20290000,高エネルギー吸収落石防止網工,飯田建設事務所,下伊那郡天龍村,（有）上野建設、（株）トライネット、（株）金田組、伊賀良建設（株）、（有）福士組
938,受注希望,土木一式工事,1006.0,9050000,排水路工,南信州地域振興局,飯田市,（株）ウチヤマ、宮嘉建設（有）
939,受注希望,とび・土工・コンクリート工事,775.0,11290000,水抜きボーリング工 排水路工,南信州地域振興局,下伊那郡大鹿村,（株）トライネット
940,受注希望,とび・土工・コンクリート工事,775.0,22350000,,南信州地域振興局,下伊那郡阿智村,宮嘉建設（有）、（有）新井工務店、阿智工務店（株）、南信土木建築（有）、細澤建設（株）、木下工業（株）
941,受注希望,とび・土工・コンクリート工事,872.0,116930000,法面対策工 グラウンドアンカー工 集排水ボーリング工,飯田建設事務所,下伊那郡阿南町,長豊建設（株）、北沢建設（株）、（株）尾畑組、（株）カリス、（株）三六組、南信土木建築（有）、（株）シノダ、（株）サンテクト、阿智工務店（株）、（株）清信建設興業、（株）パテック
942,総合評価,土木一式工事,759.0,63460000,橋梁下部工,飯田建設事務所,飯田市,金本建設（株）、長豊建設（株）、（株）トライネット、大平建設（株）、小池建設（株）
943,総合評価,土木一式工事,1007.0,85340000,橋梁下部工,飯田建設事務所,飯田市,金本建設（株）、（株）トライネット、長豊建設（株）、大平建設（株）、小池建設（株）
944,受注希望,とび・土工・コンクリート工事,775.0,27100000,ガードパイプ設置工,飯田建設事務所,工区,藤井興業（株）、宮下建設（有）、（有）宮澤組、（有）北原土木、（株）清信建設興業、高本建設（株）、（有）竹村工務所、木下工業（株）、道栄建設（株）、（株）トライネット、（株）尾畑組、（有）今村工務所、飯田建設（株）、（有）新井工務店、（株）下平組、南部建設（有）、宮嘉建設（有）、（株）吉野組、大協建設（株）、太田土建（有）
945,総合評価,土木一式工事,1007.0,1126190000,橋梁上部工,飯田建設事務所,下伊那郡天龍村,昭和コンクリート工業（株）松本営業所、北野建設（株）、佐藤工業（株）長野営業所、（株）守谷商会
946,受注希望,とび・土工・コンクリート工事,775.0,23880000,ガードパイプ設置工,飯田建設事務所,工区,（有）北原土木、藤井興業（株）、宮下建設（有）、（有）宮澤組、古田工業（株）、（株）清信建設興業、（有）畑中工務所、高本建設（株）、（有）竹村工務所、木下工業（株）、（株）トライネット、南信土木建築（有）、（有）今村工務所、（有）新井工務店、（株）下平組、太田土建（有）
947,受注希望,土木一式工事,1006.0,非公開,土留工 カゴ枠工 舗装工,飯田建設事務所,下伊那郡売木村,
948,受注希望,土木一式工事,841.0,3040000,山腹工,南信州地域振興局,大鹿村,共歩（株）
949,受注希望,とび・土工・コンクリート工事,775.0,23090000,地下水排除工 横ボーリング工,飯田建設事務所,下伊那郡大鹿村,（株）トライネット、（株）吉野組、大協建設（株）、宮嘉建設（有）
950,総合評価,土木一式工事,1007.0,99420000,橋梁下部工,飯田建設事務所,飯田市,小池建設（株）
951,総合評価,とび・土工・コンクリート工事,872.0,267810000,橋梁補修工 伸縮装置補修工 橋面舗装工,飯田建設事務所,県内一円,長豊建設（株）、小木曽建設（株）、（株）尾畑組、南信土木建築（有）、（株）トライネット、勝間田建設（株）、クラウニング（株）、（株）下平組
952,受注希望,電気工事,819.0,48910000,照明設備工,飯田建設事務所,下伊那郡天龍村,土屋電気工事（株）、東陽興業（株）
953,総合評価,とび・土工・コンクリート工事,872.0,246390000,橋梁補修工 伸縮装置補修工 橋面舗装工,飯田建設事務所,県内一円,（株）下平組、（株）尾畑組、長豊建設（株）、（株）三六組、木下建設（株）、神稲建設（株）、北沢建設（株）、（株）トライネット
954,総合評価,とび・土工・コンクリート工事,872.0,253080000,橋梁補修工 橋面舗装工 伸縮装置補修工,飯田建設事務所,県内一円,クラウニング（株）、南信土木建築（有）、（株）トライネット、金本建設（株）、神稲建設（株）、（株）三六組、北沢建設（株）、長豊建設（株）、木下建設（株）、吉川建設（株）
955,総合評価,とび・土工・コンクリート工事,872.0,238020000,橋梁補修工 橋面舗装工 伸縮装置補修工,飯田建設事務所,県内一円,（株）三六組、（株）トライネット、南信土木建築（有）、金本建設（株）、クラウニング（株）
956,総合評価,とび・土工・コンクリート工事,872.0,268630000,橋梁補修工 伸縮装置補修工 橋面舗装工,飯田建設事務所,県内一円,木下建設（株）、長豊建設（株）、北沢建設（株）、神稲建設（株）、（株）三六組、（株）下平組、南信土木建築（有）、（株）トライネット、金本建設（株）、クラウニング（株）、（株）尾畑組、古田工業（株）
957,総合評価,とび・土工・コンクリート工事,872.0,128810000,橋梁補修工 伸縮装置補修工 橋面舗装工,飯田建設事務所,県内一円,（株）尾畑組、（株）トライネット、（株）三六組、クラウニング（株）、北沢建設（株）
958,受注希望,とび・土工・コンクリート工事,,非公開,橋台補修工,南信州地域振興局,下伊那郡豊丘村,
959,受注希望,森林整備,540.0,1020000,,南信州地域振興局,飯田市,飯伊森林組合、エレファントチーム
960,受注希望,土木一式工事,759.0,33600000,,南信州地域振興局,大鹿村,（株）吉野組
961,総合評価,塗装工事,863.0,51920000,橋梁補修工 橋梁塗装工,飯田建設事務所,県内一円,矢木コーポレーション（株）、北沢建設（株）、安保塗装（株）、進興エンジニアリング（株）、信州建装（株）
962,受注希望,土木一式工事,675.0,16920000,護岸工 コンクリートブロック積工 小口止工 根固めブロック工 寄石工,飯田建設事務所,下伊那郡売木村,（有）福士組
963,総合評価,鋼構造物工事,863.0,272860000,橋梁上部撤去工,飯田建設事務所,下伊那郡松川町,（株）角藤
964,総合評価,土木一式工事,1007.0,132460000,道路築造工 コンクリート間知ブロック積工 舗装工,飯田建設事務所,下伊那郡下條村,木下工業（株）、（株）清信建設興業、（株）尾畑組、（株）シノダ
965,受注希望,土木一式工事,841.0,事後公開,排水路工,南信州地域振興局,下伊那郡大鹿村,
966,受注希望,土木一式工事,841.0,事後公開,山腹排水路工,南信州地域振興局,下伊那郡大鹿村,
967,総合評価,鋼構造物工事,775.0,非公開,橋梁補修工 鋼桁補修工,飯田建設事務所,県内一円,
968,受注希望,土木一式工事,841.0,3560000,谷止工排土工,南信州地域振興局,飯田市,共歩（株）
969,総合評価,土木一式工事,675.0,22460000,道路拡幅工 排水工,飯田建設事務所,下伊那郡泰阜村,道栄建設（株）、宮下建設（有）、（有）畑中工務所、南部建設（有）
970,総合評価,とび・土工・コンクリート工事,872.0,236410000,橋梁補修工 下部補修工,飯田建設事務所,県内一円,古田工業（株）、勝間田建設（株）、長豊建設（株）、（株）下平組、木下建設（株）、神稲建設（株）、北沢建設（株）、（株）三六組
971,総合評価,土木一式工事,759.0,34360000,道路築造工 排水構造物工 植生工 護岸工 コンクリートブロック積工,飯田建設事務所,下伊那郡喬木村,大平建設（株）、中川建設（有）、野島建設（株）、小池建設（株）、木下建設（株）
972,総合評価,とび・土工・コンクリート工事,872.0,346280000,地盤改良工,飯田建設事務所,飯田市,長豊建設（株）、北沢建設（株）、金本建設（株）
973,総合評価,とび・土工・コンクリート工事,872.0,90410000,橋梁補修工 床版補修工,飯田建設事務所,県内一円,クラウニング（株）、金本建設（株）、（株）三六組、（有）福士組、（株）トライネット、南信土木建築（有）、長豊建設（株）、北沢建設（株）、小池建設（株）
974,受注希望,土木一式工事,1006.0,非公開,排水路工,南信州地域振興局,下伊那郡阿南町,
975,総合評価,とび・土工・コンクリート工事,775.0,非公開,橋梁補修工 下部工補修工,飯田建設事務所,県内一円,
976,総合評価,とび・土工・コンクリート工事,872.0,79790000,斜面対策工 吹付法枠工 鉄筋挿入工,飯田建設事務所,飯田市,（株）シノダ、木下工業（株）、南信土木建築（有）、（株）サンテクト、阿智工務店（株）、古田工業（株）、（株）清信建設興業、（株）三六組、（株）下平組、（有）畑中工務所、（株）パテック
977,総合評価,土木一式工事,1007.0,103990000,橋梁下部工 旧橋撤去工,飯田建設事務所,下伊那郡大鹿村,（株）吉野組、神稲建設（株）、吉川建設（株）、木下建設（株）、北沢建設（株）、長豊建設（株）
978,総合評価,塗装工事,863.0,33400000,橋梁補修工 橋梁塗装工,飯田建設事務所,県内一円,進興エンジニアリング（株）、信州建装（株）、矢木コーポレーション（株）、安保塗装（株）
979,総合評価,鋼構造物工事,775.0,非公開,橋梁修繕工 鋼桁補修工,飯田建設事務所,県内一円,
980,総合評価,鋼構造物工事,775.0,非公開,橋梁補修工 鋼桁補修工,飯田建設事務所,県内一円,
981,受注希望,塗装工事,775.0,9930000,橋梁補修工 橋梁塗装工 高欄補修工,飯田建設事務所,県内一円,（株）フルハタ、（株）ダイソー
982,受注希望,森林整備,,1780000,危険木除去工,南信州地域振興局,飯田市,飯伊森林組合、杣人、エレファントチーム
983,総合評価,土木一式工事,1007.0,168350000,補強土壁工,飯田建設事務所,飯田市,（株）パテック、勝間田建設（株）、金本建設（株）、（株）尾畑組、神稲建設（株）、木下建設（株）、吉川建設（株）、北沢建設（株）、長豊建設（株）、（株）三六組
984,総合評価,鋼構造物工事,863.0,104260000,橋梁補修工 鋼桁補修工,飯田建設事務所,県内一円,北沢建設（株）、（株）ヤマウラ、神稲建設（株）
985,総合評価,とび・土工・コンクリート工事,775.0,8600000,樹木除去工,飯田建設事務所,飯田市,池端工業（株）
986,受注希望,土木一式工事,1006.0,8040000,山腹排水路工,飯田建設事務所,下伊那郡大鹿村,牧島建設（有）、伊那建設（有）、（有）清水建材工業、飯田建設（株）、シブキヤ建設（株）
987,受注希望,土木一式工事,1006.0,8090000,護岸工 ブロック積工,飯田建設事務所,飯田市,（株）イケガミ、（株）ウチヤマ
988,総合評価,鋼構造物工事,863.0,非公開,橋梁補修工 鋼桁補修工 排水装置補修工 高欄取替工,飯田建設事務所,県内一円,
989,総合評価,鋼構造物工事,863.0,非公開,橋梁上部工 架設工,飯田建設事務所,下伊那郡天龍村,
990,総合評価,鋼構造物工事,863.0,非公開,橋梁補修工 排水装置補修工 桁補修工 高欄取替工 支承補修工,飯田建設事務所,県内一円,
991,総合評価,とび・土工・コンクリート工事,775.0,41130000,橋梁補修工 床版補修工 コンクリート桁補修工,飯田建設事務所,県内一円,古田工業（株）、（株）三六組、南信土木建築（有）、小池建設（株）、阿智工務店（株）
992,受注希望,土木一式工事,1006.0,9310000,土留工 カゴ枠工 舗装工,飯田建設事務所,下伊那郡売木村,（有）新野工務店
993,受注希望,土木一式工事,841.0,非公開,取付護岸法面保護工,飯田建設事務所,下伊那郡松川町,
994,受注希望,土木一式工事,675.0,17370000,渓流保全工 梨子野橋上工 ブロック積工 中関上工,飯田建設事務所,下伊那郡阿智村,南信土木建築（有）、（有）北原土木、共歩（株）、（有）今村工務所
995,受注希望,とび・土工・コンクリート工事,775.0,7930000,ガードパイプ設置工,飯田建設事務所,工区,（有）新井工務店、（株）シノダ、（株）パテック、（株）尾畑組、（有）今村工務所、南部建設（有）、（有）北原土木、高本建設（株）、（有）竹村工務所、道栄建設（株）、小木曽建設（株）、飯田建設（株）、宮嘉建設（有）
